Vehicle_ID,Manufacturer,Model,Year,,,,,,Price_USD,,,,,,Units_Sold_2024
28,Lucid Motors,Lucid Gravity,2025,,,,,,"$66,113.98",,,,,,10559
29,Geely,Geometry C,2025,,,,,,"$64,054.37",,,,,,4828
30,Chevrolet,Bolt EUV,2022,,,,,,"$105,571.85",,,,,,13931
31,Porsche,Cayenne Electric (upcoming),2015,,,,,,"$126,169.99",,,,,,16540
32,Lamborghini,Lanzador (upcoming EV),2017,,,,,,"$130,783.55",,,,,,9362
33,Toyota,Lexus RZ,2020,,,,,,"$113,273.98",,,,,,2040
34,Li Auto,MEGA,2024,,,,,,"$143,129.00",,,,,,7226
35,Volvo,EX30,2021,,,,,,"$130,860.68",,,,,,14044
36,Changan,SL03,2015,,,,,,"$121,347.56",,,,,,635
37,Maserati,Grecale Folgore,2020,,,,,,"$143,953.41",,,,,,7142
38,Seat,Avenger,2020,,,,,,"$49,651.90",,,,,,12997
39,Lucid Motors,Lucid Air,2024,,,,,,"$66,189.92",,,,,,12142
40,MG,MG5 EV,2015,,,,,,"$73,462.56",,,,,,8850
41,Faraday Future,FF 91,2022,,,,,,"$59,459.42",,,,,,12418
42,Nissan,Ariya,2020,,,,,,"$135,638.40",,,,,,13317
43,Lamborghini,Revuelto (PHEV),2022,,,,,,"$56,591.57",,,,,,13942
44,Lamborghini,Lanzador (upcoming EV),2020,,,,,,"$116,554.12",,,,,,9060
45,Jeep,Wagoneer S,2016,,,,,,"$31,697.80",,,,,,16085
46,Tesla,Cybertruck,2019,,,,,,"$60,297.41",,,,,,1756
47,Ford,E-Transit,2016,,,,,,"$124,888.90",,,,,,10006
48,GMC,Hummer EV Pickup,2024,,,,,,"$61,757.54",,,,,,14762
49,Cadillac,Celestiq,2019,,,,,,"$84,483.76",,,,,,13930
50,Maserati,Grecale Folgore,2025,,,,,,"$49,910.73",,,,,,9964
51,XPeng,G9,2023,,,,,,"$118,144.07",,,,,,19238
52,Citroen,Ami,2019,,,,,,"$108,181.14",,,,,,15401
53,Li Auto,L9,2020,,,,,,"$89,456.28",,,,,,8270
54,Jaguar,I-PACE,2023,,,,,,"$52,509.90",,,,,,8750
55,Volkswagen,ID.5,2022,,,,,,"$103,064.60",,,,,,3717
56,Jaguar,I-PACE,2022,,,,,,"$87,899.95",,,,,,4473
57,Toyota,Lexus RZ,2020,,,,,,"$65,826.70",,,,,,11309
58,Lamborghini,Lanzador (upcoming EV),2022,,,,,,"$58,027.49",,,,,,12651
59,VinFast,VF 7,2022,,,,,,"$134,902.84",,,,,,5058
60,Great Wall Motors,ORA Lightning Cat,2020,,,,,,"$132,280.96",,,,,,17728
61,GMC,Hummer EV Pickup,2018,,,,,,"$82,076.58",,,,,,10629
62,Mazda,Mazda EV (upcoming models),2020,,,,,,"$125,102.34",,,,,,16307
63,Ford,F-150 Lightning,2022,,,,,,"$85,830.39",,,,,,13903
64,Honda,Honda Prologue,2019,,,,,,"$75,763.72",,,,,,12969
65,Tesla,Cybertruck,2025,,,,,,"$138,352.19",,,,,,4481
66,Kia,Soul EV,2019,,,,,,"$40,816.01",,,,,,17394
67,Toyota,bZ4X,2019,,,,,,"$70,645.83",,,,,,13022
68,BYD,Han EV,2021,,,,,,"$119,881.39",,,,,,15449
69,GMC,Hummer EV SUV,2024,,,,,,"$66,262.82",,,,,,3805
70,Polestar,Polestar 3,2021,,,,,,"$117,191.90",,,,,,12141
71,Geely,Geometry C,2018,,,,,,"$147,341.10",,,,,,3003
72,Rivian,EDV (Electric Delivery Van),2025,,,,,,"$45,110.87",,,,,,7634
73,Opel,Corsa-e,2024,,,,,,"$125,821.66",,,,,,10609
74,Porsche,Panamera EV,2015,,,,,,"$87,149.52",,,,,,1420
75,VinFast,VFe34 (discontinued),2019,,,,,,"$131,675.83",,,,,,19932
76,Audi,e-tron GT,2019,,,,,,"$101,687.02",,,,,,18066
77,Rivian,R1S,2022,,,,,,"$117,553.50",,,,,,2199
78,Hyundai,Kona Electric,2021,,,,,,"$100,375.81",,,,,,1685
79,Cadillac,Celestiq,2020,,,,,,"$56,909.38",,,,,,14061
80,Opel,Grandland Electric,2024,,,,,,"$62,792.45",,,,,,13132
81,Ford,Mustang Mach-E,2016,,,,,,"$48,889.11",,,,,,5158
82,BMW,iX3,2016,,,,,,"$79,702.05",,,,,,19435
83,Lotus,Evija,2019,,,,,,"$66,170.32",,,,,,14111
84,Volkswagen,ID.6,2023,,,,,,"$133,411.72",,,,,,14066
85,XPeng,P5,2019,,,,,,"$143,713.72",,,,,,13121
86,Hyundai,Ioniq 7 (upcoming),2019,,,,,,"$105,986.96",,,,,,4839
87,Kia,Niro EV,2019,,,,,,"$122,741.77",,,,,,10590
88,Rimac,Nevera,2022,,,,,,"$100,970.37",,,,,,12082
89,Audi,e-tron,2024,,,,,,"$127,177.91",,,,,,3391
90,Dacia,Jogger Hybrid,2023,,,,,,"$92,888.23",,,,,,19591
91,VinFast,VF 8,2016,,,,,,"$116,848.04",,,,,,10165
92,Seat,Avenger,2017,,,,,,"$107,219.19",,,,,,13874
93,BYD,Han EV,2020,,,,,,"$88,352.51",,,,,,17253
94,Mini,Mini Cooper SE,2024,,,,,,"$113,141.48",,,,,,14555
95,Mazda,Mazda EV (upcoming models),2018,,,,,,"$53,281.94",,,,,,17283
96,Mercedes-Benz,EQB,2024,,,,,,"$96,544.89",,,,,,16821
97,Zeekr,Zeekr 001,2018,,,,,,"$77,574.48",,,,,,3246
98,Genesis,GV80 Electric,2017,,,,,,"$46,655.12",,,,,,7066
99,Lamborghini,Lanzador (upcoming EV),2016,,,,,,"$80,379.07",,,,,,538
100,MG,MG4 Electric,2017,,,,,,"$79,988.11",,,,,,16633
101,Nissan,Ariya,2022,,,,,,"$72,851.27",,,,,,10895
102,Chevrolet,Volt (PHEV),2023,,,,,,"$87,423.74",,,,,,6605
103,VinFast,VF 7,2015,,,,,,"$95,163.68",,,,,,10876
104,Jaguar,I-PACE,2021,,,,,,"$52,418.07",,,,,,13910
105,Zeekr,Zeekr X,2023,,,,,,"$66,779.50",,,,,,11552
106,Zeekr,Zeekr 009,2025,,,,,,"$126,131.52",,,,,,1140
107,Audi,e-tron GT,2025,,,,,,"$111,487.45",,,,,,10301
108,Toyota,bZ4X,2016,,,,,,"$44,131.32",,,,,,6559
109,Volkswagen,ID.2all,2016,,,,,,"$127,261.59",,,,,,5161
110,Dacia,Jogger Hybrid,2020,,,,,,"$89,282.63",,,,,,2825
111,Subaru,Solterra,2022,,,,,,"$68,043.32",,,,,,19260
112,Opel,Corsa-e,2021,,,,,,"$66,494.95",,,,,,2584
113,Lucid Motors,Lucid DreamDrive,2023,,,,,,"$50,236.31",,,,,,1349
114,Hyundai,Kona Electric,2025,,,,,,"$79,990.41",,,,,,15825
115,Faraday Future,FF 91,2019,,,,,,"$88,110.14",,,,,,13065
116,Citroen,ë-Spacetourer,2023,,,,,,"$83,951.52",,,,,,8135
117,Canoo,Pickup,2024,,,,,,"$91,766.98",,,,,,7049
118,Fisker,Ocean,2015,,,,,,"$30,981.29",,,,,,11991
119,XPeng,P7,2024,,,,,,"$90,510.66",,,,,,12907
120,VinFast,VF 8,2023,,,,,,"$35,436.40",,,,,,4580
121,GMC,Hummer EV SUV,2017,,,,,,"$90,877.80",,,,,,10854
122,Jaguar,I-PACE,2024,,,,,,"$61,863.65",,,,,,12458
123,Canoo,MPDV,2018,,,,,,"$82,924.63",,,,,,2040
124,Volkswagen,ID.7,2018,,,,,,"$67,650.31",,,,,,8662
125,Great Wall Motors,ORA Good Cat,2018,,,,,,"$114,588.11",,,,,,8960
126,Jaguar,I-PACE,2021,,,,,,"$64,515.64",,,,,,6621
127,Toyota,Lexus UX 300e,2019,,,,,,"$110,380.08",,,,,,3294
128,Opel,Corsa-e,2015,,,,,,"$135,677.69",,,,,,18813
129,Maserati,Grecale Folgore,2017,,,,,,"$77,639.35",,,,,,18610
130,Kia,EV6,2019,,,,,,"$46,103.99",,,,,,8430
131,Porsche,Taycan,2020,,,,,,"$132,737.58",,,,,,4607
132,Rimac,Nevera,2015,,,,,,"$66,233.50",,,,,,3873
133,Subaru,Solterra,2021,,,,,,"$106,645.36",,,,,,19848
134,Li Auto,MEGA,2023,,,,,,"$101,497.74",,,,,,18486
135,BMW,iX1,2023,,,,,,"$92,440.98",,,,,,14858
136,MG,MG ES5,2022,,,,,,"$77,513.85",,,,,,2089
137,BMW,i3,2022,,,,,,"$147,399.99",,,,,,12309
138,Skoda,Elroq (upcoming),2023,,,,,,"$94,471.02",,,,,,15171
139,Renault,Kangoo E-Tech,2023,,,,,,"$63,077.97",,,,,,7886
140,Audi,e-tron,2024,,,,,,"$35,308.41",,,,,,18877
141,Ferrari,Ferrari EV (2025+),2025,,,,,,"$92,550.13",,,,,,13998
142,Mahindra,XUV400,2020,,,,,,"$78,991.10",,,,,,4730
143,BMW,iX1,2021,,,,,,"$54,400.41",,,,,,1688
144,NIO,ET5,2016,,,,,,"$134,336.86",,,,,,3844
145,Citroen,ë-Spacetourer,2018,,,,,,"$96,249.52",,,,,,16803
146,Changan,SL03,2022,,,,,,"$79,671.62",,,,,,13683
147,Ford,F-150 Lightning,2020,,,,,,"$108,552.96",,,,,,15100
148,Renault,Scenic E-Tech,2017,,,,,,"$95,056.42",,,,,,13513
149,Acura,ZDX (with GM Ultium),2016,,,,,,"$104,140.23",,,,,,18076
150,Tesla,Model S,2023,,,,,,"$127,578.87",,,,,,4879
151,Lucid Motors,Lucid DreamDrive,2023,,,,,,"$145,115.74",,,,,,1038
152,XPeng,P5,2021,,,,,,"$39,922.33",,,,,,17306
153,Volvo,C40 Recharge,2024,,,,,,"$63,644.76",,,,,,19235
154,Citroen,Ami,2021,,,,,,"$131,933.09",,,,,,2569
155,Peugeot,e-3008,2015,,,,,,"$122,280.68",,,,,,16076
156,Fisker,Pear (upcoming),2021,,,,,,"$104,233.91",,,,,,5055
157,NIO,ES8,2020,,,,,,"$121,361.58",,,,,,13370
158,Nissan,Leaf,2020,,,,,,"$31,480.87",,,,,,18741
159,Mercedes-Benz,EQS SUV,2017,,,,,,"$50,064.89",,,,,,16246
160,GMC,Hummer EV Pickup,2022,,,,,,"$104,423.06",,,,,,4460
161,Rimac,Nevera,2022,,,,,,"$113,394.93",,,,,,11960
162,Ferrari,SF90 Stradale (PHEV),2024,,,,,,"$85,394.67",,,,,,13406
163,Mahindra,XUV400,2025,,,,,,"$124,689.21",,,,,,13706
164,Chevrolet,Volt (PHEV),2023,,,,,,"$108,912.20",,,,,,13094
165,VinFast,VF 9,2016,,,,,,"$76,936.10",,,,,,3425
166,Li Auto,L7,2016,,,,,,"$84,639.92",,,,,,10450
167,Subaru,Solterra,2016,,,,,,"$49,722.49",,,,,,7597
168,Acura,ZDX (with GM Ultium),2017,,,,,,"$135,971.68",,,,,,2050
169,Kia,Niro EV,2020,,,,,,"$88,738.08",,,,,,15003
170,Porsche,Panamera EV,2024,,,,,,"$66,645.60",,,,,,12573
171,Porsche,Cayenne Electric (upcoming),2025,,,,,,"$88,757.04",,,,,,15879
172,Lucid Motors,Lucid Gravity,2023,,,,,,"$130,787.02",,,,,,1071
173,Volvo,EX30,2017,,,,,,"$43,585.32",,,,,,14462
174,Rivian,R1S,2016,,,,,,"$149,917.52",,,,,,6877
175,Jeep,Wagoneer S,2024,,,,,,"$127,623.58",,,,,,9589
176,Ferrari,Roma PHEV,2023,,,,,,"$124,282.93",,,,,,10554
177,Citroen,Ami,2021,,,,,,"$75,020.68",,,,,,14899
178,Rimac,Nevera,2016,,,,,,"$125,481.35",,,,,,11067
179,Ferrari,SF90 Stradale (PHEV),2024,,,,,,"$105,141.54",,,,,,22
180,Lucid Motors,Lucid DreamDrive,2017,,,,,,"$73,252.25",,,,,,7672
181,Genesis,GV60,2016,,,,,,"$92,333.31",,,,,,4331
182,Audi,e-tron GT,2021,,,,,,"$135,718.68",,,,,,17383
183,Tesla,Cybertruck,2025,,,,,,"$48,164.90",,,,,,19319
184,NIO,ES8,2021,,,,,,"$59,780.04",,,,,,9884
185,Lotus,Evija,2023,,,,,,"$125,253.36",,,,,,395
186,Rimac,Nevera,2021,,,,,,"$50,732.44",,,,,,1981
187,MG,MG5 EV,2025,,,,,,"$39,891.34",,,,,,6658
188,Maserati,GranTurismo Folgore,2021,,,,,,"$82,498.33",,,,,,19950
189,Subaru,Solterra,2016,,,,,,"$144,361.94",,,,,,8806
190,Jaguar,I-PACE,2020,,,,,,"$147,006.07",,,,,,5468
191,Mercedes-Benz,EQA,2016,,,,,,"$91,058.99",,,,,,1158
192,Faraday Future,FF 91,2018,,,,,,"$39,346.45",,,,,,13137
193,Changan,Deepal S07,2019,,,,,,"$64,991.41",,,,,,6403
194,Maserati,Grecale Folgore,2017,,,,,,"$106,313.02",,,,,,10076
195,Rivian,EDV (Electric Delivery Van),2018,,,,,,"$41,163.20",,,,,,3131
196,Volkswagen,ID.Buzz,2021,,,,,,"$45,684.99",,,,,,14835
197,Volvo,XC40 Recharge,2018,,,,,,"$49,725.00",,,,,,10102
198,Honda,e:Ny1,2016,,,,,,"$132,788.79",,,,,,9792
199,Canoo,Lifestyle Vehicle,2015,,,,,,"$42,228.88",,,,,,4283
200,Canoo,Pickup,2020,,,,,,"$61,058.48",,,,,,4220
201,Faraday Future,FF 91,2016,,,,,,"$81,978.77",,,,,,6132
202,Toyota,Lexus RZ,2017,,,,,,"$89,866.99",,,,,,17229
203,Acura,ZDX (with GM Ultium),2021,,,,,,"$97,878.13",,,,,,1919
204,Lotus,Emeya,2024,,,,,,"$61,983.24",,,,,,11626
205,Porsche,Macan EV,2024,,,,,,"$33,384.79",,,,,,17764
206,Porsche,Cayenne Electric (upcoming),2015,,,,,,"$87,358.68",,,,,,1951
207,Ford,F-150 Lightning,2016,,,,,,"$143,030.79",,,,,,14315
208,Mahindra,Born Electric (upcoming range),2017,,,,,,"$100,674.02",,,,,,18770
209,Opel,Grandland Electric,2015,,,,,,"$42,493.23",,,,,,2907
210,Mini,Mini Aceman,2020,,,,,,"$72,057.74",,,,,,13566
211,NIO,ES8,2023,,,,,,"$38,845.13",,,,,,5574
212,Mercedes-Benz,EQS,2023,,,,,,"$81,758.80",,,,,,6225
213,Seat,Avenger,2025,,,,,,"$95,959.52",,,,,,19667
214,Lucid Motors,Lucid Air,2015,,,,,,"$43,861.07",,,,,,6058
215,NIO,ES8,2017,,,,,,"$130,449.45",,,,,,11265
216,Li Auto,L8,2023,,,,,,"$112,448.15",,,,,,1137
217,Ferrari,Ferrari EV (2025+),2024,,,,,,"$83,884.77",,,,,,14266
218,Canoo,MPDV,2017,,,,,,"$96,763.70",,,,,,19253
219,VinFast,VF 9,2016,,,,,,"$97,522.05",,,,,,15911
220,Cadillac,Celestiq,2015,,,,,,"$136,748.91",,,,,,662
221,Canoo,Pickup,2019,,,,,,"$57,354.89",,,,,,2925
222,Geely,Geometry A,2021,,,,,,"$91,832.36",,,,,,18634
223,Porsche,Macan EV,2018,,,,,,"$73,245.01",,,,,,1001
224,BYD,Dolphin,2024,,,,,,"$71,971.19",,,,,,1626
225,Ferrari,SF90 Stradale (PHEV),2018,,,,,,"$91,593.75",,,,,,7332
226,Cadillac,Celestiq,2025,,,,,,"$56,185.09",,,,,,12262
227,Genesis,GV80 Electric,2019,,,,,,"$106,871.37",,,,,,1860
228,XPeng,G9,2025,,,,,,"$61,131.15",,,,,,11244
229,Dacia,Jogger Hybrid,2025,,,,,,"$131,450.31",,,,,,18318
230,Skoda,Enyaq Coupe,2025,,,,,,"$136,421.23",,,,,,19122
231,GMC,Hummer EV Pickup,2022,,,,,,"$79,572.87",,,,,,14993
232,Rimac,Nevera,2016,,,,,,"$30,565.62",,,,,,4240
233,Zeekr,Zeekr 007,2021,,,,,,"$53,929.71",,,,,,8153
234,Seat,Avenger,2019,,,,,,"$128,861.26",,,,,,4384
235,Mahindra,Born Electric (upcoming range),2018,,,,,,"$56,918.56",,,,,,1224
236,Acura,ZDX (with GM Ultium),2023,,,,,,"$32,369.01",,,,,,5017
237,Seat,Avenger,2019,,,,,,"$114,087.16",,,,,,16309
238,Cadillac,Lyriq,2019,,,,,,"$65,442.14",,,,,,89
239,Mini,Mini Electric,2016,,,,,,"$123,543.15",,,,,,8654
240,BMW,i3,2017,,,,,,"$67,524.85",,,,,,4534
241,Genesis,GV70 Electric,2020,,,,,,"$41,154.16",,,,,,15671
242,Genesis,GV70 Electric,2016,,,,,,"$139,347.21",,,,,,944
243,Renault,5 E-Tech,2022,,,,,,"$37,600.33",,,,,,18895
244,Ferrari,SF90 Stradale (PHEV),2025,,,,,,"$117,198.24",,,,,,1788
245,Genesis,GV70 Electric,2023,,,,,,"$88,997.76",,,,,,13214
246,Hyundai,Ioniq 7 (upcoming),2022,,,,,,"$44,244.82",,,,,,2978
247,GMC,Hummer EV SUV,2023,,,,,,"$73,601.10",,,,,,11904
248,Geely,Geometry A,2016,,,,,,"$106,039.34",,,,,,5379
249,Volkswagen,ID.2all,2021,,,,,,"$132,263.32",,,,,,1523
250,Skoda,Elroq (upcoming),2016,,,,,,"$30,520.52",,,,,,5806
251,Jeep,Grand Cherokee 4xe (PHEV),2017,,,,,,"$76,159.52",,,,,,4527
252,Cadillac,Optiq (upcoming),2023,,,,,,"$142,261.45",,,,,,4347
253,Genesis,GV70 Electric,2023,,,,,,"$97,473.63",,,,,,9369
254,Faraday Future,FF 91,2023,,,,,,"$53,988.29",,,,,,9671
255,Citroen,Ami,2015,,,,,,"$97,352.47",,,,,,12699
256,VinFast,VF 8,2023,,,,,,"$123,710.99",,,,,,17911
257,Cadillac,Lyriq,2018,,,,,,"$50,855.42",,,,,,19136
258,Tesla,Model X,2022,,,,,,"$101,625.64",,,,,,2388
259,Rimac,Nevera,2017,,,,,,"$94,444.31",,,,,,7158
260,Lotus,Emeya,2023,,,,,,"$71,520.87",,,,,,12496
261,NIO,ES7,2023,,,,,,"$91,048.27",,,,,,5485
262,Maserati,Grecale Folgore,2025,,,,,,"$80,905.13",,,,,,2363
263,Skoda,Enyaq,2015,,,,,,"$51,359.06",,,,,,12715
264,Acura,ZDX (with GM Ultium),2021,,,,,,"$106,970.73",,,,,,16476
265,Mazda,Mazda EV (upcoming models),2024,,,,,,"$128,654.68",,,,,,9665
266,Ford,E-Transit,2025,,,,,,"$31,338.02",,,,,,17941
267,Subaru,Solterra,2020,,,,,,"$56,494.56",,,,,,17984
268,Genesis,GV60,2019,,,,,,"$88,462.85",,,,,,2287
269,Rimac,Nevera,2022,,,,,,"$73,739.21",,,,,,14290
270,BYD,Tang EV,2025,,,,,,"$122,972.04",,,,,,9195
271,Maserati,Grecale Folgore,2019,,,,,,"$131,950.47",,,,,,18074
272,Maserati,GranTurismo Folgore,2025,,,,,,"$100,752.09",,,,,,11923
273,Tesla,Roadster (upcoming),2018,,,,,,"$46,844.48",,,,,,15843
274,Chevrolet,Bolt EUV,2022,,,,,,"$54,812.89",,,,,,10619
275,Dacia,Bigster EV (upcoming),2019,,,,,,"$73,835.61",,,,,,11563
276,Mahindra,Born Electric (upcoming range),2024,,,,,,"$39,250.59",,,,,,7547
277,Faraday Future,FF 91,2016,,,,,,"$107,671.11",,,,,,16798
278,Ferrari,SF90 Stradale (PHEV),2015,,,,,,"$97,632.56",,,,,,5589
279,Li Auto,L8,2024,,,,,,"$112,270.94",,,,,,6630
280,MG,MG ES5,2017,,,,,,"$93,771.59",,,,,,39
281,Genesis,G80 Electric,2023,,,,,,"$126,276.02",,,,,,3201
282,Volkswagen,ID.5,2022,,,,,,"$135,211.96",,,,,,17122
283,Lotus,Eletre,2021,,,,,,"$42,789.99",,,,,,13023
284,Li Auto,MEGA,2017,,,,,,"$99,318.14",,,,,,5301
285,Rivian,EDV (Electric Delivery Van),2021,,,,,,"$145,748.43",,,,,,8620
286,BYD,Han EV,2024,,,,,,"$92,520.67",,,,,,14384
287,Lucid Motors,Lucid DreamDrive,2023,,,,,,"$110,882.93",,,,,,11571
288,XPeng,P5,2024,,,,,,"$95,951.12",,,,,,19869
289,Changan,Deepal S07,2024,,,,,,"$90,380.30",,,,,,8196
290,Geely,Geometry C,2024,,,,,,"$85,061.81",,,,,,7221
291,Seat,Avenger,2020,,,,,,"$61,601.96",,,,,,5848
292,Rimac,Nevera,2018,,,,,,"$53,959.98",,,,,,11666
293,Opel,Corsa-e,2016,,,,,,"$121,709.31",,,,,,9002
294,Porsche,Panamera EV,2021,,,,,,"$80,781.10",,,,,,3944
295,Lotus,Emeya,2020,,,,,,"$42,089.74",,,,,,11242
296,Porsche,Cayenne Electric (upcoming),2021,,,,,,"$78,071.11",,,,,,8845
297,Lamborghini,Lanzador (upcoming EV),2021,,,,,,"$31,169.07",,,,,,10345
298,Subaru,Solterra,2023,,,,,,"$37,204.37",,,,,,11828
299,Lamborghini,Lanzador (upcoming EV),2020,,,,,,"$107,983.86",,,,,,14645
300,NIO,ES7,2022,,,,,,"$141,428.00",,,,,,10383
301,Mazda,Mazda EV (upcoming models),2024,,,,,,"$142,652.38",,,,,,4097
302,Polestar,Polestar 4,2016,,,,,,"$135,442.92",,,,,,3405
303,GMC,Hummer EV Pickup,2016,,,,,,"$118,511.19",,,,,,11692
304,Great Wall Motors,ORA Lightning Cat,2023,,,,,,"$113,714.75",,,,,,17152
305,Acura,ZDX (with GM Ultium),2020,,,,,,"$73,894.00",,,,,,11268
306,Great Wall Motors,ORA Ballet Cat,2015,,,,,,"$121,904.30",,,,,,14323
307,Polestar,Polestar 3,2025,,,,,,"$105,038.76",,,,,,8808
308,Lucid Motors,Lucid Air,2017,,,,,,"$62,656.10",,,,,,6092
309,Mazda,Mazda EV (upcoming models),2017,,,,,,"$31,766.98",,,,,,10821
310,Citroen,ë-C4,2015,,,,,,"$137,483.88",,,,,,14514
311,Peugeot,e-208,2018,,,,,,"$111,773.08",,,,,,4002
312,Great Wall Motors,ORA Ballet Cat,2019,,,,,,"$58,315.90",,,,,,7965
313,Chevrolet,Equinox EV,2022,,,,,,"$89,990.30",,,,,,17575
314,Volkswagen,ID.6,2018,,,,,,"$82,646.27",,,,,,15902
315,Geely,Emgrand EV,2019,,,,,,"$68,841.71",,,,,,17404
316,Geely,Geometry C,2019,,,,,,"$135,951.88",,,,,,17660
317,Lucid Motors,Lucid DreamDrive,2025,,,,,,"$106,908.47",,,,,,1024
318,Kia,EV9,2018,,,,,,"$93,098.56",,,,,,6839
319,Mahindra,XUV400,2022,,,,,,"$125,309.95",,,,,,7074
320,Kia,Soul EV,2018,,,,,,"$143,700.40",,,,,,15031
321,Mini,Mini Cooper SE,2016,,,,,,"$108,903.83",,,,,,12180
322,Citroen,Ami,2021,,,,,,"$55,671.38",,,,,,6
323,Chevrolet,Volt (PHEV),2024,,,,,,"$148,127.33",,,,,,18142
324,Lamborghini,Revuelto (PHEV),2016,,,,,,"$136,755.04",,,,,,2529
325,Rimac,Nevera,2017,,,,,,"$66,047.19",,,,,,13648
326,Opel,Corsa-e,2025,,,,,,"$92,926.00",,,,,,12873
327,Citroen,Ami,2024,,,,,,"$47,761.49",,,,,,13058
328,Zeekr,Zeekr X,2017,,,,,,"$53,531.92",,,,,,18874
329,Jaguar,I-PACE,2021,,,,,,"$32,904.82",,,,,,4778
330,Chevrolet,Bolt EUV,2018,,,,,,"$36,544.56",,,,,,9998
331,Great Wall Motors,ORA Good Cat,2020,,,,,,"$120,042.62",,,,,,19103
332,Lotus,Eletre,2019,,,,,,"$108,570.94",,,,,,3535
333,Mazda,Mazda EV (upcoming models),2018,,,,,,"$88,159.46",,,,,,704
334,Polestar,Polestar 4,2020,,,,,,"$72,229.57",,,,,,8443
335,Canoo,Lifestyle Vehicle,2023,,,,,,"$40,535.40",,,,,,7876
336,Ford,Explorer EV (Europe),2019,,,,,,"$46,629.18",,,,,,14092
337,Genesis,GV70 Electric,2020,,,,,,"$130,742.70",,,,,,8971
338,Opel,Corsa-e,2016,,,,,,"$103,483.44",,,,,,4393
339,Cadillac,Celestiq,2025,,,,,,"$49,654.37",,,,,,6646
340,Audi,e-tron GT,2022,,,,,,"$136,510.43",,,,,,12915
341,Peugeot,e-208,2023,,,,,,"$59,486.60",,,,,,1615
342,Mazda,Mazda EV (upcoming models),2021,,,,,,"$80,695.46",,,,,,16405
343,Porsche,Macan EV,2021,,,,,,"$137,594.10",,,,,,5373
344,Renault,Megane E-Tech,2016,,,,,,"$114,873.49",,,,,,10983
345,Mini,Mini Electric,2017,,,,,,"$67,142.20",,,,,,115
346,Citroen,ë-Spacetourer,2015,,,,,,"$89,216.02",,,,,,19664
347,Polestar,Polestar 4,2024,,,,,,"$47,790.74",,,,,,9779
348,Hyundai,Kona Electric,2016,,,,,,"$112,981.63",,,,,,1174
349,Opel,Mokka-e,2020,,,,,,"$131,197.16",,,,,,13558
350,Rivian,EDV (Electric Delivery Van),2018,,,,,,"$112,638.51",,,,,,11595
351,GMC,Hummer EV SUV,2023,,,,,,"$57,926.60",,,,,,6793
352,Li Auto,MEGA,2015,,,,,,"$54,142.46",,,,,,3730
353,Pininfarina,Battista,2021,,,,,,"$53,281.87",,,,,,4448
354,Ford,Explorer EV (Europe),2023,,,,,,"$36,722.67",,,,,,18920
355,Pininfarina,Battista,2016,,,,,,"$105,181.30",,,,,,10305
356,Chevrolet,Volt (PHEV),2021,,,,,,"$144,087.21",,,,,,6622
357,Geely,Emgrand EV,2015,,,,,,"$140,836.41",,,,,,4348
358,Renault,Megane E-Tech,2022,,,,,,"$141,880.48",,,,,,17058
359,Peugeot,e-3008,2015,,,,,,"$53,105.48",,,,,,8966
