Brand,Model_Name,Year,Price_USD,Units_Sold_2024,battery_capacity_kwh,range_km,efficiency_wh_per_km,fast_charging_power_kw_dc,Vehicle_ID,efficiency_km_per_kwh
Lamborghini,Revuelto (PHEV),2025.0,102862.66,7799.0,,,,,2072.0,
Lamborghini,Revuelto (PHEV),2022.0,117820.3,16265.0,,,,,2124.0,
Lamborghini,Revuelto (PHEV),2016.0,101376.52,8024.0,,,,,2361.0,
Lamborghini,Revuelto (PHEV),2016.0,87208.29,8199.0,,,,,2448.0,
Lamborghini,Revuelto (PHEV),2015.0,128039.67,16005.0,,,,,2554.0,
Lamborghini,Revuelto (PHEV),2024.0,141657.62,11161.0,,,,,2673.0,
Lamborghini,Revuelto (PHEV),2020.0,90462.37,1682.0,,,,,2883.0,
Lamborghini,Revuelto (PHEV),2016.0,66083.68,2008.0,,,,,2944.0,
NIO,ET7,2020.0,94347.37,6300.0,,,,,3.0,
NIO,ET7,2022.0,52179.46,3670.0,,,,,1038.0,
NIO,ET7,2015.0,147507.02,3686.0,,,,,1386.0,
NIO,ET7,2019.0,80911.55,13634.0,,,,,1709.0,
NIO,ET7,2025.0,68427.68,17070.0,,,,,1984.0,
NIO,ET7,2022.0,48023.85,3900.0,,,,,2109.0,
NIO,ET7,2025.0,112562.4,5893.0,,,,,2470.0,
Audi,e-tron,2025.0,75615.15,2339.0,,,,,4.0,
Audi,e-tron,2024.0,127177.91,3391.0,,,,,89.0,
Audi,e-tron,2024.0,35308.41,18877.0,,,,,140.0,
Audi,e-tron,2017.0,42432.84,6030.0,,,,,687.0,
Audi,e-tron,2019.0,120802.63,13349.0,,,,,1135.0,
Audi,e-tron,2020.0,31954.04,4504.0,,,,,1513.0,
Audi,e-tron,2022.0,66083.61,16542.0,,,,,2053.0,
Audi,e-tron,2024.0,105411.53,16492.0,,,,,2616.0,
Audi,e-tron,2020.0,95301.3,2767.0,,,,,2624.0,
Audi,e-tron,2018.0,139528.87,16115.0,,,,,3009.0,
XPeng,G9,2016.0,89907.75,8609.0,,,,,6.0,
XPeng,G9,2023.0,118144.07,19238.0,,,,,51.0,
XPeng,G9,2025.0,61131.15,11244.0,,,,,228.0,
XPeng,G9,2019.0,133130.01,2624.0,,,,,450.0,
XPeng,G9,2019.0,136658.45,17209.0,,,,,823.0,
XPeng,G9,2025.0,137671.49,1494.0,,,,,1190.0,
XPeng,G9,2024.0,40683.23,10833.0,,,,,1245.0,
XPeng,G9,2025.0,31493.71,9256.0,,,,,1479.0,
XPeng,G9,2017.0,99693.62,15737.0,,,,,1668.0,
XPeng,G9,2016.0,48664.88,16604.0,,,,,1921.0,
XPeng,G9,2018.0,126567.54,12274.0,,,,,2144.0,
XPeng,G9,2019.0,101180.23,5352.0,,,,,2160.0,
XPeng,G9,2015.0,142851.72,7739.0,,,,,2178.0,
XPeng,G9,2021.0,148249.33,10585.0,,,,,2331.0,
XPeng,G9,2023.0,108506.7,9405.0,,,,,2344.0,
XPeng,G9,2017.0,34895.5,6839.0,,,,,2369.0,
XPeng,G9,2022.0,64249.14,12979.0,,,,,2535.0,
XPeng,G9,2025.0,58028.82,18916.0,,,,,2872.0,
XPeng,G9,2023.0,71208.54,16702.0,,,,,2993.0,
XPeng,G9,2020.0,68768.97,5545.0,,,,,3013.0,
Jeep,Recon (upcoming),2024.0,35653.97,12504.0,,,,,7.0,
Jeep,Recon (upcoming),2015.0,74818.21,18634.0,,,,,398.0,
Jeep,Recon (upcoming),2018.0,64123.9,533.0,,,,,661.0,
Jeep,Recon (upcoming),2024.0,112642.7,3625.0,,,,,1140.0,
Jeep,Recon (upcoming),2020.0,86072.39,16497.0,,,,,1421.0,
Jeep,Recon (upcoming),2022.0,143969.6,7877.0,,,,,1802.0,
Jeep,Recon (upcoming),2025.0,127201.44,8940.0,,,,,1816.0,
Jeep,Recon (upcoming),2019.0,88135.2,10659.0,,,,,2263.0,
Jeep,Recon (upcoming),2022.0,112182.68,13877.0,,,,,2422.0,
Jeep,Recon (upcoming),2016.0,96666.78,3912.0,,,,,2528.0,
Jeep,Recon (upcoming),2022.0,105178.61,15742.0,,,,,2956.0,
Changan,Q05,2019.0,94436.44,8630.0,,,,,8.0,
Changan,Q05,2022.0,72467.13,14116.0,,,,,595.0,
Changan,Q05,2025.0,85885.82,17292.0,,,,,814.0,
Changan,Q05,2022.0,109844.81,11908.0,,,,,876.0,
Changan,Q05,2024.0,66033.9,140.0,,,,,985.0,
Changan,Q05,2019.0,63519.37,7350.0,,,,,1006.0,
Changan,Q05,2024.0,142547.47,1423.0,,,,,1289.0,
Changan,Q05,2025.0,65156.08,19822.0,,,,,1296.0,
Changan,Q05,2024.0,104133.11,17944.0,,,,,1357.0,
Changan,Q05,2017.0,40230.37,5759.0,,,,,1365.0,
Changan,Q05,2015.0,141888.71,13258.0,,,,,1497.0,
Changan,Q05,2022.0,62122.16,6632.0,,,,,1644.0,
Changan,Q05,2025.0,51371.76,11965.0,,,,,1809.0,
Changan,Q05,2025.0,110395.96,10491.0,,,,,2761.0,
Changan,Q05,2018.0,45957.47,15079.0,,,,,2828.0,
Changan,Q05,2018.0,44669.85,8428.0,,,,,2945.0,
Changan,Q05,2017.0,124317.19,2310.0,,,,,2976.0,
Citroen,ë-C4,2023.0,90919.55,18.0,,,,,9.0,
Citroen,ë-C4,2015.0,137483.88,14514.0,,,,,310.0,
Citroen,ë-C4,2024.0,59701.25,17212.0,,,,,674.0,
Citroen,ë-C4,2017.0,90798.53,8246.0,,,,,892.0,
Citroen,ë-C4,2016.0,128124.42,19272.0,,,,,893.0,
Citroen,ë-C4,2024.0,113231.94,10572.0,,,,,1443.0,
Citroen,ë-C4,2025.0,61524.98,10596.0,,,,,1557.0,
Citroen,ë-C4,2021.0,124798.03,6777.0,,,,,1634.0,
Citroen,ë-C4,2022.0,84599.27,17211.0,,,,,1902.0,
Citroen,ë-C4,2024.0,96149.9,1455.0,,,,,2088.0,
Citroen,ë-C4,2018.0,99729.71,5317.0,,,,,2235.0,
Citroen,ë-C4,2016.0,74047.32,10178.0,,,,,2268.0,
Citroen,ë-C4,2018.0,55001.14,2371.0,,,,,2308.0,
Citroen,ë-C4,2016.0,35894.12,837.0,,,,,2574.0,
Citroen,ë-C4,2015.0,91832.9,7377.0,,,,,2740.0,
Citroen,ë-C4,2016.0,97224.11,7860.0,,,,,2931.0,
Citroen,ë-C4,2022.0,132330.01,11926.0,,,,,2995.0,
Rimac,Nevera,2015.0,58904.59,17455.0,,,,,10.0,
Rimac,Nevera,2022.0,100970.37,12082.0,,,,,88.0,
Rimac,Nevera,2015.0,66233.5,3873.0,,,,,132.0,
Rimac,Nevera,2022.0,113394.93,11960.0,,,,,161.0,
Rimac,Nevera,2016.0,125481.35,11067.0,,,,,178.0,
Rimac,Nevera,2021.0,50732.44,1981.0,,,,,186.0,
Rimac,Nevera,2016.0,30565.62,4240.0,,,,,232.0,
Rimac,Nevera,2017.0,94444.31,7158.0,,,,,259.0,
Rimac,Nevera,2022.0,73739.21,14290.0,,,,,269.0,
Rimac,Nevera,2018.0,53959.98,11666.0,,,,,292.0,
Rimac,Nevera,2017.0,66047.19,13648.0,,,,,325.0,
Rimac,Nevera,2016.0,130930.82,15586.0,,,,,429.0,
Rimac,Nevera,2015.0,124922.32,5171.0,,,,,452.0,
Rimac,Nevera,2017.0,141148.45,10339.0,,,,,460.0,
Rimac,Nevera,2021.0,101640.55,10431.0,,,,,501.0,
Rimac,Nevera,2019.0,110472.15,10905.0,,,,,569.0,
Rimac,Nevera,2021.0,105772.93,10564.0,,,,,649.0,
Rimac,Nevera,2020.0,97396.87,19919.0,,,,,659.0,
Rimac,Nevera,2025.0,69184.87,1020.0,,,,,715.0,
Rimac,Nevera,2018.0,72238.15,7528.0,,,,,719.0,
Rimac,Nevera,2020.0,125972.57,5304.0,,,,,827.0,
Rimac,Nevera,2024.0,128038.74,3860.0,,,,,828.0,
Rimac,Nevera,2024.0,72014.07,6028.0,,,,,870.0,
Rimac,Nevera,2020.0,96599.49,7501.0,,,,,900.0,
Rimac,Nevera,2021.0,64756.73,7520.0,,,,,910.0,
Rimac,Nevera,2017.0,38433.6,13869.0,,,,,947.0,
Rimac,Nevera,2017.0,41341.95,13053.0,,,,,1063.0,
Rimac,Nevera,2018.0,106010.14,17196.0,,,,,1088.0,
Rimac,Nevera,2019.0,31417.84,9391.0,,,,,1155.0,
Rimac,Nevera,2020.0,71642.94,9257.0,,,,,1188.0,
Rimac,Nevera,2018.0,51146.18,3684.0,,,,,1223.0,
Rimac,Nevera,2018.0,107484.66,12041.0,,,,,1225.0,
Rimac,Nevera,2022.0,71723.78,4185.0,,,,,1306.0,
Rimac,Nevera,2023.0,124718.24,389.0,,,,,1323.0,
Rimac,Nevera,2017.0,58935.73,15542.0,,,,,1324.0,
Rimac,Nevera,2015.0,78255.83,16569.0,,,,,1333.0,
Rimac,Nevera,2021.0,149744.53,10775.0,,,,,1354.0,
Rimac,Nevera,2019.0,119659.99,18266.0,,,,,1491.0,
Rimac,Nevera,2022.0,89057.16,8231.0,,,,,1525.0,
Rimac,Nevera,2020.0,106054.84,12722.0,,,,,1573.0,
Rimac,Nevera,2017.0,114303.75,19171.0,,,,,1579.0,
Rimac,Nevera,2018.0,107201.97,11700.0,,,,,1754.0,
Rimac,Nevera,2025.0,70157.42,14281.0,,,,,1789.0,
Rimac,Nevera,2015.0,67519.3,11747.0,,,,,1877.0,
Rimac,Nevera,2021.0,47681.03,11248.0,,,,,1922.0,
Rimac,Nevera,2025.0,131999.88,11251.0,,,,,1952.0,
Rimac,Nevera,2021.0,123807.42,12022.0,,,,,2022.0,
Rimac,Nevera,2023.0,48192.54,9843.0,,,,,2026.0,
Rimac,Nevera,2015.0,92238.99,3102.0,,,,,2090.0,
Rimac,Nevera,2025.0,97977.4,12583.0,,,,,2182.0,
Rimac,Nevera,2017.0,41804.87,5597.0,,,,,2238.0,
Rimac,Nevera,2022.0,38964.41,11349.0,,,,,2265.0,
Rimac,Nevera,2022.0,121233.69,11634.0,,,,,2425.0,
Rimac,Nevera,2022.0,85193.64,13556.0,,,,,2466.0,
Rimac,Nevera,2021.0,85022.3,3299.0,,,,,2515.0,
Rimac,Nevera,2021.0,129139.34,6690.0,,,,,2517.0,
Rimac,Nevera,2021.0,64777.34,18661.0,,,,,2550.0,
Rimac,Nevera,2022.0,92019.48,19955.0,,,,,2567.0,
Rimac,Nevera,2022.0,123881.73,13335.0,,,,,2604.0,
Rimac,Nevera,2015.0,75986.03,13061.0,,,,,2637.0,
Rimac,Nevera,2020.0,83671.52,11847.0,,,,,2681.0,
Rimac,Nevera,2015.0,99233.98,1565.0,,,,,2742.0,
Rimac,Nevera,2019.0,149516.21,18003.0,,,,,2777.0,
Rimac,Nevera,2024.0,103044.9,18831.0,,,,,2798.0,
Rimac,Nevera,2025.0,68292.46,17970.0,,,,,2836.0,
Rimac,Nevera,2024.0,73134.79,7243.0,,,,,2980.0,
Rimac,Nevera,2025.0,138556.89,8799.0,,,,,2986.0,
Rimac,Nevera,2019.0,104540.55,5589.0,,,,,3001.0,
Volkswagen,ID.Buzz,2022.0,141469.62,16959.0,,,,,11.0,
Volkswagen,ID.Buzz,2021.0,45684.99,14835.0,,,,,196.0,
Volkswagen,ID.Buzz,2018.0,119519.49,13274.0,,,,,627.0,
Volkswagen,ID.Buzz,2020.0,37088.5,9286.0,,,,,1325.0,
Volkswagen,ID.Buzz,2023.0,30961.71,3875.0,,,,,1488.0,
Volkswagen,ID.Buzz,2019.0,85308.27,6756.0,,,,,1726.0,
Volkswagen,ID.Buzz,2022.0,149616.97,3304.0,,,,,2329.0,
Volkswagen,ID.Buzz,2021.0,102435.89,16475.0,,,,,2441.0,
Volkswagen,ID.Buzz,2017.0,68842.48,18039.0,,,,,2584.0,
Volkswagen,ID.Buzz,2021.0,41867.18,18254.0,,,,,2768.0,
Jaguar,I-PACE,2018.0,30862.9,7798.0,,,,,12.0,
Jaguar,I-PACE,2023.0,52509.9,8750.0,,,,,54.0,
Jaguar,I-PACE,2022.0,87899.95,4473.0,,,,,56.0,
Jaguar,I-PACE,2021.0,52418.07,13910.0,,,,,104.0,
Jaguar,I-PACE,2024.0,61863.65,12458.0,,,,,122.0,
Jaguar,I-PACE,2021.0,64515.64,6621.0,,,,,126.0,
Jaguar,I-PACE,2020.0,147006.07,5468.0,,,,,190.0,
Jaguar,I-PACE,2021.0,32904.82,4778.0,,,,,329.0,
Jaguar,I-PACE,2020.0,78695.24,2014.0,,,,,366.0,
Jaguar,I-PACE,2016.0,113478.44,13991.0,,,,,382.0,
Jaguar,I-PACE,2024.0,127382.52,1493.0,,,,,391.0,
Jaguar,I-PACE,2017.0,135210.64,11184.0,,,,,471.0,
Jaguar,I-PACE,2015.0,37440.27,1828.0,,,,,515.0,
Jaguar,I-PACE,2017.0,132174.01,13862.0,,,,,582.0,
Jaguar,I-PACE,2018.0,143045.52,17517.0,,,,,609.0,
Jaguar,I-PACE,2020.0,110188.23,15817.0,,,,,665.0,
Jaguar,I-PACE,2018.0,137406.28,6576.0,,,,,686.0,
Jaguar,I-PACE,2017.0,40830.33,6896.0,,,,,736.0,
Jaguar,I-PACE,2015.0,41348.71,7998.0,,,,,777.0,
Jaguar,I-PACE,2020.0,78514.16,19370.0,,,,,859.0,
Jaguar,I-PACE,2025.0,139297.37,16074.0,,,,,873.0,
Jaguar,I-PACE,2017.0,37795.1,11178.0,,,,,888.0,
Jaguar,I-PACE,2017.0,74001.08,17808.0,,,,,933.0,
Jaguar,I-PACE,2020.0,81818.7,12272.0,,,,,1017.0,
Jaguar,I-PACE,2018.0,101982.62,7900.0,,,,,1036.0,
Jaguar,I-PACE,2021.0,48888.55,2924.0,,,,,1104.0,
Jaguar,I-PACE,2021.0,116600.48,8148.0,,,,,1105.0,
Jaguar,I-PACE,2023.0,33197.45,16023.0,,,,,1114.0,
Jaguar,I-PACE,2015.0,93374.68,3948.0,,,,,1117.0,
Jaguar,I-PACE,2019.0,140356.22,3323.0,,,,,1213.0,
Jaguar,I-PACE,2017.0,103104.33,14806.0,,,,,1319.0,
Jaguar,I-PACE,2021.0,106946.08,7479.0,,,,,1393.0,
Jaguar,I-PACE,2024.0,115476.02,13213.0,,,,,1460.0,
Jaguar,I-PACE,2015.0,55613.29,4203.0,,,,,1505.0,
Jaguar,I-PACE,2025.0,98048.69,16736.0,,,,,1537.0,
Jaguar,I-PACE,2019.0,72055.42,1721.0,,,,,1555.0,
Jaguar,I-PACE,2024.0,46081.57,14268.0,,,,,1560.0,
Jaguar,I-PACE,2024.0,48146.85,6935.0,,,,,1614.0,
Jaguar,I-PACE,2018.0,114169.65,15928.0,,,,,1703.0,
Jaguar,I-PACE,2019.0,72713.54,14177.0,,,,,1716.0,
Jaguar,I-PACE,2022.0,35978.45,1233.0,,,,,1790.0,
Jaguar,I-PACE,2024.0,63161.33,17866.0,,,,,1827.0,
Jaguar,I-PACE,2018.0,118063.09,11485.0,,,,,1880.0,
Jaguar,I-PACE,2024.0,43422.87,12632.0,,,,,1937.0,
Jaguar,I-PACE,2020.0,80148.36,14564.0,,,,,1968.0,
Jaguar,I-PACE,2023.0,97098.09,12024.0,,,,,2016.0,
Jaguar,I-PACE,2023.0,137906.09,19945.0,,,,,2097.0,
Jaguar,I-PACE,2025.0,65064.75,12599.0,,,,,2161.0,
Jaguar,I-PACE,2019.0,63950.12,11912.0,,,,,2173.0,
Jaguar,I-PACE,2017.0,74206.78,2710.0,,,,,2220.0,
Jaguar,I-PACE,2025.0,117721.16,1168.0,,,,,2330.0,
Jaguar,I-PACE,2017.0,110154.9,6126.0,,,,,2339.0,
Jaguar,I-PACE,2021.0,83504.87,17002.0,,,,,2392.0,
Jaguar,I-PACE,2022.0,42511.91,7263.0,,,,,2646.0,
Jaguar,I-PACE,2023.0,82226.05,19278.0,,,,,2694.0,
Jaguar,I-PACE,2023.0,40995.43,15111.0,,,,,2717.0,
Jaguar,I-PACE,2017.0,94168.34,1782.0,,,,,2733.0,
Jaguar,I-PACE,2024.0,99141.6,15377.0,,,,,2807.0,
Jaguar,I-PACE,2020.0,99625.77,10003.0,,,,,2814.0,
Jaguar,I-PACE,2021.0,142875.36,609.0,,,,,2913.0,
Mini,Mini Cooper SE,2018.0,86756.75,15303.0,,,,,13.0,
Mini,Mini Cooper SE,2024.0,113141.48,14555.0,,,,,94.0,
Mini,Mini Cooper SE,2016.0,108903.83,12180.0,,,,,321.0,
Mini,Mini Cooper SE,2019.0,69918.57,6575.0,,,,,383.0,
Mini,Mini Cooper SE,2017.0,90449.61,8532.0,,,,,459.0,
Mini,Mini Cooper SE,2019.0,125809.96,222.0,,,,,852.0,
Mini,Mini Cooper SE,2023.0,76316.48,13168.0,,,,,878.0,
Mini,Mini Cooper SE,2018.0,107268.27,10045.0,,,,,925.0,
Mini,Mini Cooper SE,2023.0,123395.53,9849.0,,,,,970.0,
Mini,Mini Cooper SE,2018.0,53502.73,4407.0,,,,,1016.0,
Mini,Mini Cooper SE,2023.0,125592.29,2719.0,,,,,1086.0,
Mini,Mini Cooper SE,2025.0,44149.68,18082.0,,,,,1130.0,
Mini,Mini Cooper SE,2018.0,143051.48,3975.0,,,,,1249.0,
Mini,Mini Cooper SE,2022.0,34504.78,1537.0,,,,,1259.0,
Mini,Mini Cooper SE,2021.0,142799.82,19574.0,,,,,1303.0,
Mini,Mini Cooper SE,2021.0,99330.14,7745.0,,,,,1575.0,
Mini,Mini Cooper SE,2024.0,120896.17,16228.0,,,,,1665.0,
Mini,Mini Cooper SE,2017.0,116685.03,14340.0,,,,,2004.0,
Mini,Mini Cooper SE,2018.0,108817.41,16547.0,,,,,2078.0,
Mini,Mini Cooper SE,2016.0,33166.75,9120.0,,,,,2210.0,
Mini,Mini Cooper SE,2017.0,122064.88,7467.0,,,,,2264.0,
Mini,Mini Cooper SE,2016.0,144840.21,17429.0,,,,,2290.0,
Mini,Mini Cooper SE,2019.0,39893.78,11723.0,,,,,2313.0,
Mini,Mini Cooper SE,2022.0,30684.38,6965.0,,,,,2362.0,
Mini,Mini Cooper SE,2024.0,48139.06,11399.0,,,,,2642.0,
Mini,Mini Cooper SE,2021.0,58155.3,16198.0,,,,,2692.0,
Mini,Mini Cooper SE,2019.0,149322.93,4416.0,,,,,2697.0,
Mini,Mini Cooper SE,2015.0,57276.58,10843.0,,,,,2795.0,
Mini,Mini Cooper SE,2022.0,138236.83,2245.0,,,,,2878.0,
BMW,iX3,2025.0,43112.28,2470.0,,,,,14.0,
BMW,iX3,2016.0,79702.05,19435.0,,,,,82.0,
BMW,iX3,2020.0,93572.64,5938.0,,,,,853.0,
BMW,iX3,2020.0,64965.15,10324.0,,,,,1035.0,
BMW,iX3,2019.0,76818.53,4090.0,,,,,1075.0,
BMW,iX3,2022.0,59499.59,602.0,,,,,1477.0,
BMW,iX3,2018.0,61475.08,19577.0,,,,,1489.0,
BMW,iX3,2015.0,83204.07,5684.0,,,,,1660.0,
BMW,iX3,2023.0,60034.24,19544.0,,,,,1987.0,
BMW,iX3,2021.0,36458.03,1817.0,,,,,2565.0,
Faraday Future,FF 91,2015.0,141164.04,5394.0,,,,,15.0,
Faraday Future,FF 91,2025.0,46114.93,11235.0,,,,,20.0,
Faraday Future,FF 91,2019.0,133031.19,7304.0,,,,,24.0,
Faraday Future,FF 91,2022.0,59459.42,12418.0,,,,,41.0,
Faraday Future,FF 91,2019.0,88110.14,13065.0,,,,,115.0,
Faraday Future,FF 91,2018.0,39346.45,13137.0,,,,,192.0,
Faraday Future,FF 91,2016.0,81978.77,6132.0,,,,,201.0,
Faraday Future,FF 91,2023.0,53988.29,9671.0,,,,,254.0,
Faraday Future,FF 91,2016.0,107671.11,16798.0,,,,,277.0,
Faraday Future,FF 91,2021.0,66387.74,216.0,,,,,416.0,
Faraday Future,FF 91,2015.0,44747.34,15571.0,,,,,565.0,
Faraday Future,FF 91,2023.0,94595.15,14935.0,,,,,572.0,
Faraday Future,FF 91,2022.0,47120.42,8162.0,,,,,589.0,
Faraday Future,FF 91,2015.0,48184.54,4615.0,,,,,631.0,
Faraday Future,FF 91,2017.0,84576.94,5871.0,,,,,633.0,
Faraday Future,FF 91,2016.0,119993.24,9499.0,,,,,645.0,
Faraday Future,FF 91,2024.0,53402.83,7565.0,,,,,718.0,
Faraday Future,FF 91,2017.0,33360.56,16935.0,,,,,795.0,
Faraday Future,FF 91,2019.0,89718.13,12741.0,,,,,858.0,
Faraday Future,FF 91,2022.0,80459.18,14325.0,,,,,946.0,
Faraday Future,FF 91,2022.0,128661.08,18897.0,,,,,1000.0,
Faraday Future,FF 91,2015.0,52384.63,3753.0,,,,,1199.0,
Faraday Future,FF 91,2017.0,81773.89,17184.0,,,,,1200.0,
Faraday Future,FF 91,2015.0,64300.5,10348.0,,,,,1275.0,
Faraday Future,FF 91,2023.0,126280.05,13805.0,,,,,1350.0,
Faraday Future,FF 91,2020.0,64041.59,9333.0,,,,,1411.0,
Faraday Future,FF 91,2023.0,95127.79,7683.0,,,,,1420.0,
Faraday Future,FF 91,2018.0,134036.35,15463.0,,,,,1570.0,
Faraday Future,FF 91,2025.0,97602.21,14226.0,,,,,1583.0,
Faraday Future,FF 91,2022.0,139788.17,7238.0,,,,,1593.0,
Faraday Future,FF 91,2017.0,133895.84,10352.0,,,,,1625.0,
Faraday Future,FF 91,2023.0,67004.38,19774.0,,,,,1671.0,
Faraday Future,FF 91,2016.0,134272.47,12461.0,,,,,1685.0,
Faraday Future,FF 91,2016.0,53092.66,1342.0,,,,,1686.0,
Faraday Future,FF 91,2022.0,46950.55,5099.0,,,,,1696.0,
Faraday Future,FF 91,2023.0,67161.43,1547.0,,,,,1699.0,
Faraday Future,FF 91,2023.0,63251.3,16676.0,,,,,1781.0,
Faraday Future,FF 91,2017.0,133031.49,6897.0,,,,,1801.0,
