brand,model_name,year,Price_USD,units_sold_2024,battery_capacity_kwh,range_km,efficiency_wh_per_km,fast_charging_power_kw_dc,vehicle_id,efficiency_km_per_kwh,range_miles
Maserati,Grecale Folgore,2024.0,59671.94,12263.0,95.0,400.0,220.0,110.0,1410.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2025.0,94355.84,5286.0,95.0,400.0,220.0,110.0,1597.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2023.0,145262.08,10215.0,95.0,400.0,220.0,110.0,1767.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2024.0,94968.16,1686.0,95.0,400.0,220.0,110.0,1835.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2025.0,105178.11,15824.0,95.0,400.0,220.0,110.0,1861.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2019.0,94681.79,2927.0,95.0,400.0,220.0,110.0,2039.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2025.0,120145.63,3323.0,95.0,400.0,220.0,110.0,2093.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2018.0,52383.56,1405.0,95.0,400.0,220.0,110.0,2145.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2019.0,140262.98,8495.0,95.0,400.0,220.0,110.0,2302.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2020.0,102689.87,13292.0,95.0,400.0,220.0,110.0,2310.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2021.0,41964.6,145.0,95.0,400.0,220.0,110.0,2399.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2025.0,148196.18,3374.0,95.0,400.0,220.0,110.0,2436.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2021.0,114912.49,11416.0,95.0,400.0,220.0,110.0,2977.0,4.2105263157894735,248.54840000000002
Kia,Niro EV,2019.0,122741.77,10590.0,64.8,385.0,140.0,70.0,87.0,5.941358024691358,239.227835
Kia,Niro EV,2020.0,88738.08,15003.0,64.8,385.0,140.0,70.0,169.0,5.941358024691358,239.227835
Kia,Niro EV,2023.0,34769.4,6656.0,64.8,385.0,140.0,70.0,727.0,5.941358024691358,239.227835
Kia,Niro EV,2019.0,100478.05,15512.0,64.8,385.0,140.0,70.0,750.0,5.941358024691358,239.227835
Kia,Niro EV,2018.0,61940.89,19365.0,64.8,385.0,140.0,70.0,1123.0,5.941358024691358,239.227835
Kia,Niro EV,2017.0,59972.8,3702.0,64.8,385.0,140.0,70.0,1270.0,5.941358024691358,239.227835
Kia,Niro EV,2024.0,89190.75,1564.0,64.8,385.0,140.0,70.0,1406.0,5.941358024691358,239.227835
Kia,Niro EV,2015.0,116770.4,3017.0,64.8,385.0,140.0,70.0,1561.0,5.941358024691358,239.227835
Kia,Niro EV,2021.0,111527.69,14785.0,64.8,385.0,140.0,70.0,1697.0,5.941358024691358,239.227835
Kia,Niro EV,2015.0,86155.45,7089.0,64.8,385.0,140.0,70.0,1927.0,5.941358024691358,239.227835
Kia,Niro EV,2020.0,94152.18,9257.0,64.8,385.0,140.0,70.0,1956.0,5.941358024691358,239.227835
Kia,Niro EV,2023.0,61333.09,7177.0,64.8,385.0,140.0,70.0,2608.0,5.941358024691358,239.227835
Kia,Niro EV,2022.0,134031.68,16000.0,64.8,385.0,140.0,70.0,2609.0,5.941358024691358,239.227835
Kia,Niro EV,2021.0,149154.47,7698.0,64.8,385.0,140.0,70.0,2763.0,5.941358024691358,239.227835
Kia,Niro EV,2022.0,93696.17,2793.0,64.8,385.0,140.0,70.0,2953.0,5.941358024691358,239.227835
Porsche,Taycan,2020.0,132737.58,4607.0,82.3,495.0,164.0,195.0,131.0,6.014580801944107,307.578645
Porsche,Taycan,2020.0,120331.36,11307.0,82.3,495.0,164.0,195.0,377.0,6.014580801944107,307.578645
Porsche,Taycan,2021.0,71090.83,17861.0,82.3,495.0,164.0,195.0,637.0,6.014580801944107,307.578645
Porsche,Taycan,2024.0,37617.73,18828.0,82.3,495.0,164.0,195.0,1073.0,6.014580801944107,307.578645
Porsche,Taycan,2016.0,46873.35,12306.0,82.3,495.0,164.0,195.0,1107.0,6.014580801944107,307.578645
Porsche,Taycan,2020.0,100599.16,12777.0,82.3,495.0,164.0,195.0,1165.0,6.014580801944107,307.578645
Porsche,Taycan,2016.0,106811.1,8073.0,82.3,495.0,164.0,195.0,1307.0,6.014580801944107,307.578645
Porsche,Taycan,2017.0,62078.29,16416.0,82.3,495.0,164.0,195.0,1433.0,6.014580801944107,307.578645
Porsche,Taycan,2020.0,103045.6,2169.0,82.3,495.0,164.0,195.0,1523.0,6.014580801944107,307.578645
Porsche,Taycan,2023.0,106223.17,19968.0,82.3,495.0,164.0,195.0,1967.0,6.014580801944107,307.578645
Porsche,Taycan,2025.0,63585.73,5669.0,82.3,495.0,164.0,195.0,2438.0,6.014580801944107,307.578645
Porsche,Taycan,2019.0,98898.46,12510.0,82.3,495.0,164.0,195.0,3014.0,6.014580801944107,307.578645
Maserati,GranTurismo Folgore,2021.0,82498.33,19950.0,83.0,420.0,182.0,217.0,188.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2025.0,100752.09,11923.0,83.0,420.0,182.0,217.0,272.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2016.0,51194.2,11772.0,83.0,420.0,182.0,217.0,387.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2020.0,121569.88,9177.0,83.0,420.0,182.0,217.0,525.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2024.0,106343.66,17913.0,83.0,420.0,182.0,217.0,688.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2019.0,134539.09,4497.0,83.0,420.0,182.0,217.0,941.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2018.0,116729.11,16284.0,83.0,420.0,182.0,217.0,944.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2024.0,65776.47,2752.0,83.0,420.0,182.0,217.0,1071.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2015.0,100657.19,18934.0,83.0,420.0,182.0,217.0,1148.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2022.0,90114.46,10051.0,83.0,420.0,182.0,217.0,1193.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2022.0,116123.92,13552.0,83.0,420.0,182.0,217.0,1264.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2021.0,61457.27,31.0,83.0,420.0,182.0,217.0,1279.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2018.0,112112.55,6969.0,83.0,420.0,182.0,217.0,1313.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2015.0,76772.95,16253.0,83.0,420.0,182.0,217.0,1340.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2025.0,68355.55,3753.0,83.0,420.0,182.0,217.0,1658.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2017.0,53109.55,1750.0,83.0,420.0,182.0,217.0,1714.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2018.0,54949.1,19762.0,83.0,420.0,182.0,217.0,1724.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2025.0,72257.27,17812.0,83.0,420.0,182.0,217.0,1998.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2021.0,137425.14,3342.0,83.0,420.0,182.0,217.0,2066.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2018.0,70806.21,10134.0,83.0,420.0,182.0,217.0,2128.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2017.0,100782.57,2964.0,83.0,420.0,182.0,217.0,2328.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2016.0,59718.93,5491.0,83.0,420.0,182.0,217.0,2408.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2023.0,136840.62,12585.0,83.0,420.0,182.0,217.0,2419.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2019.0,125800.4,12358.0,83.0,420.0,182.0,217.0,2760.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2022.0,62866.65,15044.0,83.0,420.0,182.0,217.0,2801.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2018.0,100542.09,6039.0,83.0,420.0,182.0,217.0,2830.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2024.0,32260.06,9771.0,83.0,420.0,182.0,217.0,2877.0,5.0602409638554215,260.97582
Maserati,GranTurismo Folgore,2019.0,100560.66,8832.0,83.0,420.0,182.0,217.0,2909.0,5.0602409638554215,260.97582
Honda,e:Ny1,2016.0,132788.79,9792.0,61.9,335.0,150.0,60.0,198.0,5.411954765751212,208.159285
Honda,e:Ny1,2024.0,86265.79,8396.0,61.9,335.0,150.0,60.0,457.0,5.411954765751212,208.159285
Honda,e:Ny1,2016.0,100418.49,11759.0,61.9,335.0,150.0,60.0,764.0,5.411954765751212,208.159285
Honda,e:Ny1,2020.0,120837.67,9020.0,61.9,335.0,150.0,60.0,793.0,5.411954765751212,208.159285
Honda,e:Ny1,2025.0,147294.21,18610.0,61.9,335.0,150.0,60.0,1009.0,5.411954765751212,208.159285
Honda,e:Ny1,2017.0,73418.71,2015.0,61.9,335.0,150.0,60.0,1110.0,5.411954765751212,208.159285
Honda,e:Ny1,2021.0,31773.86,13283.0,61.9,335.0,150.0,60.0,1562.0,5.411954765751212,208.159285
Honda,e:Ny1,2022.0,64615.92,10534.0,61.9,335.0,150.0,60.0,2123.0,5.411954765751212,208.159285
Honda,e:Ny1,2023.0,37521.74,2104.0,61.9,335.0,150.0,60.0,2256.0,5.411954765751212,208.159285
Honda,e:Ny1,2022.0,118293.1,2819.0,61.9,335.0,150.0,60.0,2304.0,5.411954765751212,208.159285
Honda,e:Ny1,2021.0,104154.12,2167.0,61.9,335.0,150.0,60.0,2374.0,5.411954765751212,208.159285
Honda,e:Ny1,2020.0,38832.34,14449.0,61.9,335.0,150.0,60.0,2639.0,5.411954765751212,208.159285
Honda,e:Ny1,2024.0,68541.17,8328.0,61.9,335.0,150.0,60.0,2645.0,5.411954765751212,208.159285
Honda,e:Ny1,2020.0,148253.34,2774.0,61.9,335.0,150.0,60.0,2926.0,5.411954765751212,208.159285
Honda,e:Ny1,2024.0,35081.17,108.0,61.9,335.0,150.0,60.0,3011.0,5.411954765751212,208.159285
Lotus,Emeya,2024.0,61983.24,11626.0,98.9,520.0,198.0,240.0,204.0,5.257836198179979,323.11292000000003
Lotus,Emeya,2023.0,71520.87,12496.0,98.9,520.0,198.0,240.0,260.0,5.257836198179979,323.11292000000003
Lotus,Emeya,2020.0,42089.74,11242.0,98.9,520.0,198.0,240.0,295.0,5.257836198179979,323.11292000000003
Lotus,Emeya,2022.0,140206.98,18737.0,98.9,520.0,198.0,240.0,512.0,5.257836198179979,323.11292000000003
Lotus,Emeya,2024.0,64549.41,13600.0,98.9,520.0,198.0,240.0,538.0,5.257836198179979,323.11292000000003
Lotus,Emeya,2022.0,111823.2,11666.0,98.9,520.0,198.0,240.0,564.0,5.257836198179979,323.11292000000003
Lotus,Emeya,2018.0,71486.31,5531.0,98.9,520.0,198.0,240.0,1150.0,5.257836198179979,323.11292000000003
Lotus,Emeya,2022.0,105765.49,17948.0,98.9,520.0,198.0,240.0,1162.0,5.257836198179979,323.11292000000003
Lotus,Emeya,2024.0,133940.56,12159.0,98.9,520.0,198.0,240.0,1375.0,5.257836198179979,323.11292000000003
Lotus,Emeya,2021.0,78785.54,8008.0,98.9,520.0,198.0,240.0,1563.0,5.257836198179979,323.11292000000003
Lotus,Emeya,2015.0,123533.34,15313.0,98.9,520.0,198.0,240.0,1977.0,5.257836198179979,323.11292000000003
Lotus,Emeya,2021.0,120135.5,6847.0,98.9,520.0,198.0,240.0,2029.0,5.257836198179979,323.11292000000003
Lotus,Emeya,2018.0,31737.92,18514.0,98.9,520.0,198.0,240.0,2333.0,5.257836198179979,323.11292000000003
Lotus,Emeya,2024.0,103429.51,4655.0,98.9,520.0,198.0,240.0,2539.0,5.257836198179979,323.11292000000003
Lotus,Emeya,2019.0,134651.02,8648.0,98.9,520.0,198.0,240.0,2581.0,5.257836198179979,323.11292000000003
Lotus,Emeya,2023.0,87471.51,7843.0,98.9,520.0,198.0,240.0,2910.0,5.257836198179979,323.11292000000003
Lotus,Eletre,2021.0,42789.99,13023.0,109.0,495.0,204.0,259.0,283.0,4.541284403669724,307.578645
Lotus,Eletre,2019.0,108570.94,3535.0,109.0,495.0,204.0,259.0,332.0,4.541284403669724,307.578645
Lotus,Eletre,2025.0,34085.01,19640.0,109.0,495.0,204.0,259.0,381.0,4.541284403669724,307.578645
Lotus,Eletre,2018.0,41842.29,3516.0,109.0,495.0,204.0,259.0,427.0,4.541284403669724,307.578645
Lotus,Eletre,2017.0,43289.27,4257.0,109.0,495.0,204.0,259.0,536.0,4.541284403669724,307.578645
Lotus,Eletre,2023.0,42016.57,13894.0,109.0,495.0,204.0,259.0,832.0,4.541284403669724,307.578645
Lotus,Eletre,2025.0,107183.82,13969.0,109.0,495.0,204.0,259.0,860.0,4.541284403669724,307.578645
Lotus,Eletre,2016.0,90333.3,16111.0,109.0,495.0,204.0,259.0,1321.0,4.541284403669724,307.578645
Lotus,Eletre,2018.0,81372.86,18624.0,109.0,495.0,204.0,259.0,1468.0,4.541284403669724,307.578645
Lotus,Eletre,2021.0,60650.14,8880.0,109.0,495.0,204.0,259.0,1516.0,4.541284403669724,307.578645
Lotus,Eletre,2018.0,128535.73,16886.0,109.0,495.0,204.0,259.0,2491.0,4.541284403669724,307.578645
Lotus,Eletre,2020.0,110485.34,19138.0,109.0,495.0,204.0,259.0,2591.0,4.541284403669724,307.578645
Lotus,Eletre,2017.0,95315.8,14732.0,109.0,495.0,204.0,259.0,2758.0,4.541284403669724,307.578645
Lotus,Eletre,2016.0,128150.81,19435.0,109.0,495.0,204.0,259.0,2997.0,4.541284403669724,307.578645
Lotus,Eletre,2018.0,43103.48,8574.0,109.0,495.0,204.0,259.0,3002.0,4.541284403669724,307.578645
